HMDB	KEGG
HMDB02352	C09627
HMDB02363	C13807
HMDB02364	C17148
HMDB02367	C17438
HMDB02368	C08323
HMDB02369	C15493
HMDB02374	C08821
HMDB02375	C10437
HMDB02384	C01838
HMDB02386	C06266
HMDB02387	C16460
HMDB02390	C14088
HMDB02392	C16939
HMDB02393	C12269
HMDB02395	C08988
HMDB02398	C08589
HMDB02400	C13808
HMDB02428	C06337
HMDB02434	C00530
HMDB02457	C19609
HMDB02466	C00587
HMDB02496	C15559
HMDB02500	C01324
HMDB02501	C15472
HMDB02503	C06267
HMDB02513	C03033
HMDB02520	C02979
HMDB02536	C17661
HMDB02541	C03383
HMDB02545	C08348
HMDB02577	C03033
HMDB02579	C03033
HMDB02580	C03642
HMDB02596	C03033
HMDB02639	C11301
HMDB02641	C01772
HMDB02649	C01796
HMDB02655	C10084
HMDB02656	C04685
HMDB02658	C01020
HMDB02659	C06710
HMDB02664	C06439
HMDB02666	C01081
HMDB02670	C00509
HMDB02685	C06475
HMDB02704	C06472
HMDB02706	C00308
HMDB02708	C05905
HMDB02710	C05957
HMDB02712	C07326
HMDB02714	C01438
HMDB02719	C01802
HMDB02725	C07254
HMDB02741	C08596
HMDB02752	C05953
HMDB02755	C10107
HMDB02757	C00506
HMDB02759	C04555
HMDB02776	C04671
HMDB02780	C06562
HMDB02783	C13526
HMDB02786	C00088
HMDB02789	C06098
HMDB02802	C00762
HMDB02815	C04230
HMDB02818	C07599
HMDB02820	C05828
HMDB02825	C07480
HMDB02829	C11135
HMDB02832	C17925
HMDB02833	C00535
HMDB02835	C06938
HMDB02845	C05270
HMDB02865	C00746
HMDB02869	C01789
HMDB02871	C05414
HMDB02878	C00244
HMDB02886	C05961
HMDB02894	C02376
HMDB02899	C10788
HMDB02902	C14151
HMDB02916	C02235
HMDB02917	C00379
HMDB02923	C00252
HMDB02925	C03242
HMDB02927	C09789
HMDB02937	C10188
HMDB02939	C19263
HMDB02961	C03917
HMDB02972	C05849
HMDB02982	C00959
HMDB02984	C14606
HMDB02985	C01177
HMDB02991	C01678
HMDB02994	C00503
HMDB02995	C02165
HMDB03000	C05432
HMDB03011	C00979
HMDB03012	C00292
HMDB03020	C08606
HMDB03023	C03427
HMDB03034	C13802
HMDB03045	C05570
HMDB03052	C00424
HMDB03063	C15857
HMDB03066	C01484
HMDB03069	C04042
HMDB03070	C00493
HMDB03072	C06746
HMDB03073	C06426
HMDB03074	C05908
HMDB03075	C10043
HMDB03080	C05951
HMDB03081	C02095
HMDB03099	C16359
HMDB03101	C08614
HMDB03114	C05431
HMDB03116	C07311
HMDB03119	C00556
HMDB03125	C00027
HMDB03128	C05481
HMDB03134	C05552
HMDB03141	C11061
HMDB03153	C09731
HMDB03154	C08583
HMDB03156	C00265
HMDB03157	C03139
HMDB03164	C00852
HMDB03173	C08727
HMDB03175	C04707
HMDB03178	C00032
HMDB03180	C05482
HMDB03192	C04051
HMDB03193	C11134
HMDB03201	C08716
HMDB03208	C02198
HMDB03213	C00492
HMDB03217	C06563
HMDB03218	C08842
HMDB03219	C02076
HMDB03224	C01801
HMDB03227	C00409
HMDB03229	C08362
HMDB03231	C08367
HMDB03233	C08601
HMDB03235	C05956
HMDB03236	C06543
HMDB03243	C00466
HMDB03249	C05625
HMDB03252	C05963
HMDB03254	C06470
HMDB03255	C00317
HMDB03259	C05471
HMDB03263	C05904
HMDB03265	C09755
HMDB03269	C05380
HMDB03276	C00283
HMDB03282	C04152
HMDB03288	C05688
HMDB03290	C00800
HMDB03306	C00774
HMDB03312	C10208
HMDB03315	C00414
HMDB03320	C19837
HMDB03325	C05787
HMDB03331	C02494
HMDB03335	C00104
HMDB03337	C00127
HMDB03338	C00192
HMDB03339	C00217
HMDB03344	C00266
HMDB03345	C00267
HMDB03349	C00337
HMDB03351	C00394
HMDB03352	C00400
HMDB03355	C00431
HMDB03357	C00437
HMDB03361	C00396
HMDB03362	C00461
HMDB03363	C00470
