R-MMU-139898	Casp8	n/a
R-MMU-139906	Bad	n/a
R-MMU-139906	Ppp3r1	n/a
R-MMU-139906	Sfn	n/a
R-MMU-139906	Ywhab	n/a
R-MMU-139906	Ywhae	n/a
R-MMU-139906	Ywhag	n/a
R-MMU-139906	Ywhah	n/a
R-MMU-139906	Ywhaq	n/a
R-MMU-139906	Ywhaz	n/a
R-MMU-139908	Bmf	n/a
R-MMU-139908	Dynll2	n/a
R-MMU-139908	Mapk8	n/a
R-MMU-140355	Ptgs1	n/a
R-MMU-140359	C00427	n/a
R-MMU-140359	Ptgs1	n/a
R-MMU-140736	F3	n/a
R-MMU-140777	F3	n/a
R-MMU-141026	Pros1	n/a
R-MMU-141186	C00780	n/a
R-MMU-141186	C05634	n/a
R-MMU-141186	Maoa	n/a
R-MMU-141341	C00315	n/a
R-MMU-141341	C00750	n/a
R-MMU-141341	C02229	n/a
R-MMU-141341	Smox	n/a
R-MMU-141348	C00134	n/a
R-MMU-141348	C00612	n/a
R-MMU-141348	Paox	n/a
R-MMU-141367	Bid	n/a
R-MMU-141367	Nmt1	n/a
R-MMU-1433418	Fyn	n/a
R-MMU-1433418	Jak2	n/a
R-MMU-1433418	Kit	n/a
R-MMU-1433418	Kitl	n/a
R-MMU-1433418	Lck	n/a
R-MMU-1433418	Lyn	n/a
R-MMU-1433418	Src	n/a
R-MMU-1433418	Yes1	n/a
R-MMU-1433454	Fyn	n/a
R-MMU-1433454	Grb2	n/a
R-MMU-1433454	Kit	n/a
R-MMU-1433454	Kitl	n/a
R-MMU-1433454	Lck	n/a
R-MMU-1433454	Lyn	n/a
R-MMU-1433454	Ptpn11	n/a
R-MMU-1433454	Src	n/a
R-MMU-1433454	Yes1	n/a
R-MMU-1433471	Grb2	n/a
R-MMU-1433471	Hras	n/a
R-MMU-1433471	Kit	n/a
R-MMU-1433471	Kitl	n/a
R-MMU-1433471	Kras	n/a
R-MMU-1433471	Nras	n/a
R-MMU-1433471	Sos1	n/a
R-MMU-1433488	Fyn	n/a
R-MMU-1433488	Kit	n/a
R-MMU-1433488	Kitl	n/a
R-MMU-1433488	Lck	n/a
R-MMU-1433488	Lyn	n/a
R-MMU-1433488	Ptpn11	n/a
R-MMU-1433488	Src	n/a
R-MMU-1433488	Yes1	n/a
